City_ID,City,Max Temp,Country,Weather Right Now,Lat,Lng,Hotel Name
1,Rikitea,77.83,PF,broken clouds,-23.1203,-134.9692,People ThankYou
3,Lorengau,77.83,PG,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
8,Mataura,75.47,NZ,broken clouds,-46.1927,168.8643,Ellie's Villa
13,Tefe,80.71,BR,few clouds,-3.3542,-64.7114,Aracati Hotel
15,Saint-Philippe,78.39,RE,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Mahebourg,80.26,MU,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Puerto Ayora,74.55,EC,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Santiago,78.24,CL,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
20,Cape Town,74.12,ZA,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
22,Atar,80.28,MR,overcast clouds,20.5169,-13.0499,Oumou Elghoura
23,Port Alfred,75.07,ZA,overcast clouds,-33.5906,26.891,The Halyards Hotel
25,Arraial Do Cabo,75.16,BR,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Kapaa,76.12,US,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Atuona,78.46,PF,few clouds,-9.8,-139.0333,Villa Enata
33,Butaritari,81.43,KI,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
34,Harper,79.21,LR,scattered clouds,4.375,-7.7169,Screensaver
36,Carnarvon,78.87,AU,clear sky,-24.8667,113.6333,Hospitality Carnarvon
37,Bluff,75.79,NZ,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
39,Kimbe,81.41,PG,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
40,Sechura,74.88,PE,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
41,Upata,77.2,VE,overcast clouds,8.0086,-62.3989,Posada Villa Nela
44,New Norfolk,81.72,AU,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,Hobart,83.05,AU,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
55,Sao Filipe,75.04,CV,overcast clouds,14.8961,-24.4956,Hotel Xaguate
68,Makakilo City,78.55,US,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
70,Pisco,73.45,PE,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
72,Kruisfontein,70.88,ZA,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
73,Santa Fe,81.01,AR,clear sky,-31.6333,-60.7,Conquistador Hotel
74,Katherine,77.32,AU,light rain,-14.4667,132.2667,Pine Tree Motel
80,Kavaratti,80.08,IN,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
85,Atambua,76.46,ID,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
87,San Carlos,80.62,VE,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
95,Paita,79.36,PE,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
96,Hilo,80.33,US,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Georgetown,78.89,MY,few clouds,5.4112,100.3354,Cititel Penang
108,Santa Cruz,83.66,BO,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
109,Kaitangata,71.92,NZ,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
111,Acarau,79.3,BR,few clouds,-2.8856,-40.12,castelo pizzaria
112,Bosaso,75.29,SO,scattered clouds,11.2842,49.1816,Red Sea Hotel
114,San Isidro,75.51,PE,clear sky,-12.1167,-77.05,Soul Mate-Inn
117,Oussouye,75.38,SN,overcast clouds,12.485,-16.5469,Auberge du Routard
122,San Patricio,70.21,US,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
123,Iquique,71.64,CL,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
126,Yulara,71.44,AU,moderate rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
132,Avarua,71.65,CK,heavy intensity rain,-21.2078,-159.775,Paradise Inn
138,Bambous Virieux,79.21,MU,broken clouds,-20.3428,57.7575,Casa Tia Villa
139,Morant Bay,78.42,JM,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
141,Ranau,70.45,MY,broken clouds,5.9538,116.6641,The Second Room
143,Hermanus,73.9,ZA,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
145,Port Keats,82.18,AU,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
153,Meulaboh,75.97,ID,scattered clouds,4.1363,96.1285,Kost Pria
154,Takoradi,78.22,GH,broken clouds,4.8845,-1.7554,Raybow International Hotel
155,Bathsheba,79.41,BB,scattered clouds,13.2167,-59.5167,Atlantis Hotel
157,Estacion Coahuila,75.96,MX,overcast clouds,32.1939,-115.0017,Hotel Las Cabañas
158,Port Elizabeth,73.69,ZA,mist,-33.918,25.5701,39 On Nile Guest House
164,Namatanai,82.0,PG,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
166,Bengkulu,75.85,ID,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Cabedelo,79.47,BR,few clouds,-6.9811,-34.8339,Hotel Pigalle
168,Peruibe,74.08,BR,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
171,Tuatapere,75.81,NZ,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
172,Cabo San Lucas,76.6,MX,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
176,Luwuk,82.49,ID,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
180,Podor,84.15,MR,clear sky,16.6527,-14.9587,Auberge Du Tékrour
184,San Ramon De La Nueva Oran,79.38,AR,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
187,Wanning,70.21,CN,overcast clouds,18.8003,110.3967,Paradise Hotel
190,Miandrivazo,78.93,MG,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
191,Hambantota,74.91,LK,few clouds,6.1241,81.1185,Bungalow 63
197,Vao,77.88,NC,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
200,Sao Joao Da Barra,77.67,BR,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
203,Banda Aceh,76.89,ID,overcast clouds,5.5577,95.3222,Sulthan Hotel International
204,Pedernales,75.88,DO,few clouds,18.0384,-71.744,Hotel Costa Marina
206,Victor Harbor,72.72,AU,broken clouds,-35.5667,138.6167,McCracken Country Club
208,Carmen,80.64,MX,clear sky,18.6333,-91.8333,Hotel Lossandes
214,Saint-Leu,77.86,RE,overcast clouds,-21.15,55.2833,La Caz Oceane
218,Banjar,82.26,ID,overcast clouds,-8.19,114.9675,The Hamsa Resort
220,Labuhan,79.07,ID,overcast clouds,-6.8844,112.2051,DoubleFAG
225,Matara,72.77,LK,clear sky,5.9485,80.5353,Amaloh Boutique Resort
226,Poya,84.99,NC,overcast clouds,-21.35,165.15,
