City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Right Now,Country,Date
0,Gat,31.61,34.7642,51.4,100,54,9.24,broken clouds,IL,2022-01-31 23:38:57
1,Rikitea,-23.1203,-134.9692,77.83,66,73,3.78,broken clouds,PF,2022-01-31 23:40:00
2,Necochea,-38.5473,-58.7368,62.04,53,63,8.32,broken clouds,AR,2022-01-31 23:37:48
3,Lorengau,-2.0226,147.2712,77.83,90,100,10.31,overcast clouds,PG,2022-01-31 23:41:57
4,Vaini,-21.2,-175.2,86.16,79,75,10.36,broken clouds,TO,2022-01-31 23:41:57
5,Albany,42.6001,-73.9662,21.81,64,7,1.92,clear sky,US,2022-01-31 23:37:49
6,Sitka,57.0531,-135.33,35.49,80,75,3.44,broken clouds,US,2022-01-31 23:39:39
7,Jamestown,42.097,-79.2353,29.84,50,0,5.75,clear sky,US,2022-01-31 23:40:52
8,Mataura,-46.1927,168.8643,75.47,50,69,2.42,broken clouds,NZ,2022-01-31 23:41:58
9,Beringovskiy,63.05,179.3167,6.24,82,96,17.58,light snow,RU,2022-01-31 23:41:08
10,Busselton,-33.65,115.3333,64.04,53,16,17.47,few clouds,AU,2022-01-31 23:39:41
11,Provideniya,64.3833,-173.3,8.71,56,40,20.13,scattered clouds,RU,2022-01-31 23:41:59
12,Khonsa,27.0167,95.5667,45.01,93,88,2.98,overcast clouds,IN,2022-01-31 23:41:59
13,Tefe,-3.3542,-64.7114,80.71,83,20,3.44,few clouds,BR,2022-01-31 23:40:52
14,Roros,62.5747,11.3842,12.04,85,100,0.0,overcast clouds,NO,2022-01-31 23:42:00
15,Saint-Philippe,-21.3585,55.7679,78.39,80,100,14.81,overcast clouds,RE,2022-01-31 23:42:00
16,Mahebourg,-20.4081,57.7,80.26,78,75,14.97,broken clouds,MU,2022-01-31 23:42:01
17,Puerto Ayora,-0.7393,-90.3518,74.55,93,64,1.99,broken clouds,EC,2022-01-31 23:42:02
18,Santiago,-33.4569,-70.6483,78.24,39,0,8.05,clear sky,CL,2022-01-31 23:42:02
19,Northam,51.0333,-4.2167,48.61,86,78,20.69,broken clouds,GB,2022-01-31 23:42:02
20,Cape Town,-33.9258,18.4232,74.12,80,0,2.3,clear sky,ZA,2022-01-31 23:41:30
21,Punta Arenas,-53.15,-70.9167,46.51,81,40,24.16,light rain,CL,2022-01-31 23:42:03
22,Atar,20.5169,-13.0499,80.28,13,100,9.91,overcast clouds,MR,2022-01-31 23:42:03
23,Port Alfred,-33.5906,26.891,75.07,95,100,4.83,overcast clouds,ZA,2022-01-31 23:42:04
24,Jinchang,38.4953,102.1739,17.55,36,100,2.01,overcast clouds,CN,2022-01-31 23:42:04
25,Arraial Do Cabo,-22.9661,-42.0278,75.16,94,75,3.44,broken clouds,BR,2022-01-31 23:38:10
