City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chuy,-33.6971,-53.4616,73.08,53,63,9.4,UY,2022-01-28 17:34:01
1,Nikolskoye,59.7035,30.7861,28.87,96,100,6.06,RU,2022-01-28 17:31:27
2,Fortuna,40.5982,-124.1573,41.92,81,0,11.5,US,2022-01-28 17:31:25
3,Rikitea,-23.1203,-134.9692,77.49,76,100,17.98,PF,2022-01-28 17:31:16
4,Cabo San Lucas,22.8909,-109.9124,75.51,55,20,3.44,MX,2022-01-28 17:30:27
5,Puerto Ayora,-0.7393,-90.3518,82.36,71,99,8.32,EC,2022-01-28 17:33:47
6,Daru,-9.0763,143.2092,77.77,88,100,7.9,PG,2022-01-28 17:35:08
7,Brae,60.3964,-1.353,48.11,94,100,32.77,GB,2022-01-28 17:35:09
8,Chiang Khong,20.2613,100.4046,64.72,73,70,1.81,TH,2022-01-28 17:35:09
9,Husavik,66.0449,-17.3389,31.91,83,53,25.1,IS,2022-01-28 17:35:10
10,Bluff,-46.6,168.3333,47.8,79,93,4.88,NZ,2022-01-28 17:33:50
11,Punta Arenas,-53.15,-70.9167,68.02,63,0,10.36,CL,2022-01-28 17:31:14
12,San Patricio,28.017,-97.5169,51.19,55,100,14.65,US,2022-01-28 17:32:31
13,Kaitangata,-46.2817,169.8464,48.67,91,67,4.7,NZ,2022-01-28 17:33:54
14,Sao Joao Da Barra,-21.6403,-41.0511,91.49,78,38,15.9,BR,2022-01-28 17:33:48
15,Jaguaribe,-5.8906,-38.6219,86.94,48,100,8.37,BR,2022-01-28 17:35:11
16,Bireun,5.203,96.7009,78.8,85,56,3.13,ID,2022-01-28 17:35:11
17,Jamestown,42.097,-79.2353,24.12,60,100,5.99,US,2022-01-28 17:28:08
18,Darnah,32.767,22.6367,55.09,73,11,14.81,LY,2022-01-28 17:35:12
19,Bathsheba,13.2167,-59.5167,79.41,73,75,9.22,BB,2022-01-28 17:35:12
20,Bredasdorp,-34.5322,20.0403,69.12,60,9,10.36,ZA,2022-01-28 17:31:30
21,Saskylakh,71.9167,114.0833,2.55,87,100,6.35,RU,2022-01-28 17:35:13
22,Upernavik,72.7868,-56.1549,-3.08,66,100,9.04,GL,2022-01-28 17:31:30
23,Ushuaia,-54.8,-68.3,56.86,72,75,2.3,AR,2022-01-28 17:31:19
24,Chokurdakh,70.6333,147.9167,-29.56,95,44,5.23,RU,2022-01-28 17:31:22
25,Minsk Mazowiecki,52.1794,21.5725,36.25,84,99,20.74,PL,2022-01-28 17:35:13
26,Mataura,-46.1927,168.8643,47.48,90,83,2.77,NZ,2022-01-28 17:31:30
27,Hilo,19.7297,-155.09,69.53,75,100,5.75,US,2022-01-28 17:31:15
28,Atambua,-9.1061,124.8925,74.61,90,100,4.56,ID,2022-01-28 17:35:14
29,Tura,25.5198,90.2201,50.36,56,0,2.86,IN,2022-01-28 17:31:23
30,Butaritari,3.0707,172.7902,81.72,79,40,17.07,KI,2022-01-28 17:32:37
31,Victoria,22.2855,114.1577,66.38,87,86,1.99,HK,2022-01-28 17:30:26
32,Vostok,46.4856,135.8833,-3.62,97,100,9.08,RU,2022-01-28 17:35:15
33,Cape Town,-33.9258,18.4232,70.27,58,0,27.63,ZA,2022-01-28 17:34:10
34,Bengkulu,-3.8004,102.2655,76.64,87,91,3.44,ID,2022-01-28 17:35:15
35,Kapaa,22.0752,-159.319,64.38,100,0,5.75,US,2022-01-28 17:30:09
36,Hobart,-42.8794,147.3294,63.01,83,100,9.22,AU,2022-01-28 17:31:28
37,Mahebourg,-20.4081,57.7,79.09,83,75,4.61,MU,2022-01-28 17:35:16
38,Port Elizabeth,-33.918,25.5701,72.1,73,75,16.11,ZA,2022-01-28 17:28:25
39,Vaini,-21.2,-175.2,82.24,79,95,19.04,TO,2022-01-28 17:31:26
40,Sahuaripa,29.05,-109.2333,67.68,23,30,8.19,MX,2022-01-28 17:35:17
41,Port Augusta,-32.5,137.7667,69.94,70,53,14.97,AU,2022-01-28 17:35:17
